School,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002
The University of Alabama,37302,38129,38237,36203,33736,30975,26409,22136,20112,18967,18500,14313,12522,10555,9106,8298,7322
University of Arizona,39941,33608,36166,35408,32723,26329,26854,26629,26629,24756,22544,25449,16609,17904,23725,21185,19832
University of Arkansas,18732,21715,21539,20542,18984,18908,16749,16633,14019,12035,12045,10135,8443,6041,5819,5491,5017
Auburn University,20742,18072,18256,19414,16958,15745,17463,18323,15784,14862,17068,17688,15919,14249,12827,12439,13264
University of California-Los Angeles,113754,102225,97112,92690,86537,72676,61556,61545,55694,55423,50746,47317,42223,43267,44981,43436,40739
Clemson University,28845,26242,23506,22396,20756,18500,17072,16865,16282,14504,14255,12784,12784,10620,10620,11419,11315
University of Colorado Boulder,36604,36148,34047,31325,28852,22473,21744,20506,21150,19649,23004,19857,18160,17111,19360,20920,19152
University of Florida,38905,32747,30118,29220,28662,27107,27419,27295,26512,25798,26326,24126,22093,21151,22458,22973,20119
Florida State University,50314,35334,29027,29828,30266,29579,30040,28313,26037,23439,25485,24343,23687,22450,22127,22438,18342
University of Georgia,26164,24165,22694,21945,20918,18458,17569,17408,17776,17207,16871,15924,12326,13267,11813,11813,12786
University of Iowa,26706,27734,28494,26222,24097,21642,19430,18939,17220,15060,15582,14678,14350,13241,13874,13337,13079
Iowa State University,18855,19262,19433,19164,18399,16539,14540,15066,12536,12549,11058,9634,9101,9101,9172,9035,10370
University of Kansas,14752,14538,15015,15155,15767,12389,10035,10157,10653,10902,10367,10240,10030,10442,9700,9573,9005
Kansas State University,8685,8517,9213,9178,9614,9839,9273,8292,8268,8413,9386,7479,9937,10067,10066,7952,8212
University of Kentucky,19324,18925,20480,18725,20677,19810,15153,13537,12195,11120,10619,10024,10516,10604,9418,8879,8449
Michigan State University,33129,36143,37480,35300,33211,31479,30224,28416,26907,25395,25589,24436,23247,21844,21834,24973,25210
University of Mississippi,15371,17416,17918,18059,16101,14258,13934,13321,10909,8595,7946,7921,6763,6662,6490,7603,7603
Mississippi State University,17381,13973,14012,12446,10766,11191,10462,9862,9300,11281,7479,6098,5778,5778,5245,4646,4772
University of North Carolina at Chapel Hill,41939,39650,34889,31143,31332,28437,22652,22288,23225,21543,20090,19728,18414,18850,17591,17141,15946
University of Oregon,24474,20317,21821,22000,21359,21263,23012,18515,16780,15013,11287,10821,10012,9623,10193,9889,8686
Purdue University Fort Wayne,4777,4403,3532,3506,3386,3702,3270,2779,4041,3597,3277,3103,2850,2786,2915,2486,2471
Texas Tech University,24452,25207,23311,23010,21873,19170,18027,17569,16349,16551,16143,11961,13809,12583,13323,13755,13101
University of Utah,23096,22400,14308,12174,10991,11354,11118,9545,8364,7890,7244,6557,6701,6251,6251,5842,5802
Virginia Polytechnic Institute and State University,31936,27423,25000,22280,20744,19112,20191,20828,19981,21053,20615,19429,18919,17670,17845,18426,17900
Washington State University,22773,22565,23223,19766,14887,14887,14825,13094,11604,11795,11326,10853,9314,9193,9463,9213,8932
West Virginia University,18639,20594,21558,15353,15604,16521,15815,14335,14229,15094,13634,12047,10957,10523,10049,9147,8786
University of Louisville,13851,10987,10404,9685,10604,9166,7892,7749,7755,7861,7280,6323,5712,5335,5284,5306,5814
Oregon State University,14890,14888,14595,14058,14116,12414,12197,11428,10068,8640,8149,9077,6552,6917,7410,5811,6645